id,barrio,tipo_propiedad,tipo_habitacion,capacidad,banios,dormitorios,camas,precio_ars,minimo_noches,cantidad_resenias,puntaje_resenias,superanfitrion,latitud,longitud,noches_ocupadas_anio
14681611,Palermo,Entire rental unit,Entire home/apt,2,1,1,2,93841,1,138,4.87,no,-34.5817,-58.4056,0
14037837,Belgrano,Private room in home,Private room,1,3,,1,23613,1,0,,no,-34.5643,-58.4669,0
13355338,Balvanera,Private room in condo,Private room,2,2,,1,46900,2,66,4.77,no,-34.6109,-58.3948,12
13375587,Balvanera,Entire rental unit,Entire home/apt,5,2,2,4,148353,3,134,4.92,si,-34.6049,-58.3937,102
13411845,Belgrano,Entire rental unit,Entire home/apt,2,,1,,50371,40,6,5,no,-34.5563,-58.4598,0
13418112,Retiro,Entire rental unit,Entire home/apt,4,2,1,1,138160,5,72,4.9,si,-34.5915,-58.3807,90
13424380,Palermo,Entire rental unit,Entire home/apt,4,1,2,2,38806,30,0,,no,-34.5783,-58.4052,0
13432794,Balvanera,Entire rental unit,Entire home/apt,6,1.5,3,5,215146,2,105,4.82,si,-34.5995,-58.403,66
13444368,San Nicolas,Entire rental unit,Entire home/apt,2,1,,4,141589,3,6,4.33,no,-34.6062,-58.3908,0
14041300,Retiro,Entire rental unit,Entire home/apt,2,,1,1,71772,1,73,4.55,no,-34.5957,-58.3833,12
14055798,Villa Crespo,Entire rental unit,Entire home/apt,3,,1,,77420,3,134,4.93,no,-34.5944,-58.4407,36
14063690,Palermo,Entire rental unit,Entire home/apt,2,1,1,1,72708,15,1,5,no,-34.5961,-58.4165,0
13445157,Palermo,Entire rental unit,Entire home/apt,6,2.5,3,5,330029,3,2,4,no,-34.5868,-58.4134,0
13489915,Belgrano,Entire condo,Entire home/apt,2,1,1,1,110675,3,124,4.97,si,-34.5514,-58.4526,96
13495083,San Telmo,Entire rental unit,Entire home/apt,4,1,2,4,122251,3,131,4.67,no,-34.6213,-58.3743,54
13505237,Palermo,Entire loft,Entire home/apt,2,1,1,2,65512,3,340,4.74,no,-34.588,-58.4236,108
13510527,Almagro,Private room in rental unit,Private room,2,1,,1,69423,1,17,4.94,no,-34.5991,-58.4168,0
13512371,Belgrano,Entire rental unit,Entire home/apt,4,,2,,,4,11,4.82,no,-34.5689,-58.4692,24
13531519,Palermo,Entire rental unit,Entire home/apt,3,1,,2,170706,6,7,3.71,si,-34.5819,-58.424,0
